gene,id,z
TMEM132C,8289,-3.587747
SRPRA,2690,-3.586941
ANKRD27,7808,-3.586152
RBM20,9470,-3.583981
FNIP2,6808,-3.582857
RFLNB,9704,-3.581485
RBM18,8299,-3.580018
B4GALT2,3323,-3.576544
SAP30,3370,-3.574697
HVCN1,7907,-3.572813
SLC38A1,7636,-3.568501
NOV,1853,-3.568199
GATM,1026,-3.562809
ME1,1641,-3.559105
SNTG1,5899,-3.558909
MAFK,3111,-3.558146
HS1BP3,7054,-3.557382
NFIC,1820,-3.557373
NIPA2,7666,-3.55721
RAB15,9739,-3.556608
ZDHHC21,9643,-3.554062
PRKG2,2182,-3.553659
ZBTB21,5517,-3.5499
ARHGDIB,178,-3.546396
OLFM2,8332,-3.544091
GPATCH4,6038,-3.533984
EPHB6,846,-3.532883
PNLDC1,9047,-3.532857
DYNLT3,2787,-3.532611
ZIC4,7817,-3.532187
FAM102B,9533,-3.52858
PPP2R2C,2141,-3.51938
CHN2,493,-3.518119
FAS,154,-3.51388
SCRT1,7713,-3.510007
PRSS16,4073,-3.509246
RNF26,7258,-3.507696
PDPN,4257,-3.506096
ETV6,871,-3.504888
STAU2,5266,-3.498513
KITLG,1665,-3.495428
RANBP3L,9262,-3.49417
BNIP3,290,-3.493855
FAM162B,9341,-3.49189
B3GAT1,5275,-3.48895
LMF1,7111,-3.488597
C16orf87,9768,-3.482632
FAM78A,9593,-3.48017
LRRC39,8684,-3.479905
FOXQ1,8367,-3.476609
CTXN2,9818,-3.475371
RAB37,9605,-3.474609
MEGF10,7928,-3.47341
PTPN14,2273,-3.469926
IDI1,1335,-3.467987
LTK,1578,-3.461631
ZNF780A,9519,-3.460835
RAB3C,8493,-3.46073
TPST2,3215,-3.460176
CALB1,349,-3.457159
MAP3K11,1676,-3.45645
ANKRD28,4785,-3.445751
WSB2,6477,-3.444796
HIVEP1,1225,-3.443278
NAPEPLD,9368,-3.44161
BTBD1,5854,-3.439768
ARHGAP5,175,-3.436595
EPHX1,847,-3.43645
TMEM243,7278,-3.430619
ACSL4,898,-3.427372
CLK4,6713,-3.426779
SLCO2A1,2613,-3.424981
SLC39A12,9334,-3.422401
SPATS2,7175,-3.42024
ARL6,7813,-3.417478
PLPP4,9195,-3.417451
TTC9C,9480,-3.415301
ABHD12B,8892,-3.410293
DLD,704,-3.410185
GGN,9218,-3.408714
HSPA12B,8530,-3.406094
SORCS2,6772,-3.403316
TFPI,2805,-3.399944
MARF1,3755,-3.398504
ELOVL2,6050,-3.39779
PPP2R5A,2144,-3.393099
PIP5K1B,3186,-3.39292
SOWAHB,9670,-3.392814
PAG1,6453,-3.389298
PTH1R,2262,-3.386592
FBXL7,4758,-3.385781
MAFB,3895,-3.385247
EML1,822,-3.382384
UBE2D1,2933,-3.376578
FAM173A,7192,-3.372453
FAM84A,9000,-3.37169
DPH3,9558,-3.371301
RNF152,9324,-3.368667
SMIM15,9941,-3.367308
MPP6,5820,-3.366357
KIAA1324L,9367,-3.365445
UMODL1-AS1,8972,-3.365065
GTF3A,1182,-3.363887
KCTD15,7234,-3.363339
GAB1,989,-3.362773
FSTL4,4715,-3.362154
EXTL2,876,-3.361623
ENPP6,8775,-3.360242
KCNQ2,1478,-3.359336
PPFIBP1,3227,-3.35699
LANCL3,9676,-3.35616
CBLN4,8843,-3.347491
DYRK2,3205,-3.340928
PODXL2,5524,-3.340752
ADAMTS9,6625,-3.339765
MAP2K5,2195,-3.339417
NSUN5,6383,-3.337262
PRKD1,2177,-3.336149
SH3BGRL2,7746,-3.335262
EPHB1,843,-3.32758
SERPINB2,1929,-3.326884
TSTA3,2910,-3.325848
RASL10B,8250,-3.322183
IQCG,7850,-3.32194
TMEM170B,9992,-3.318398
TFRC,2807,-3.314967
SOX6,6323,-3.314463
CITED2,4113,-3.314054
FZD5,3093,-3.313183
CALD1,351,-3.309361
OXNAD1,8276,-3.30785
ARL15,5974,-3.304924
BAG1,248,-3.303879
KCNS1,1480,-3.29534
BTNL9,9038,-3.290923
DNAH14,8685,-3.289806
OSBPL5,8456,-3.286827
POLI,4506,-3.28067
PEBP4,9062,-3.280354
DDAH1,4950,-3.279194
TEKT4,8981,-3.276947
SRXN1,8855,-3.275326
LRRN1,6825,-3.275224
C6orf106,7101,-3.273063
PICK1,3644,-3.272141
ELAVL3,814,-3.271415
MED21,3621,-3.27091
SERGEF,5213,-3.269778
TMEM117,7845,-3.269773
ANGPTL2,4894,-3.267617
CENPS,9742,-3.265413
KLRC3,1494,-3.261767
ZNF480,8931,-3.26094
UBE3D,8153,-3.259238
TRAF3,2890,-3.252202
MYT1,1762,-3.250859
ALDH1A3,102,-3.246582
MED4,5402,-3.24465
SCN1A,2513,-3.24324
STXBP6,5412,-3.236389
SLC6A13,2594,-3.235905
MAST4,9730,-3.225752
HMGA1,1257,-3.219491
AP2S1,514,-3.21836
EFCAB2,7887,-3.216242
TMEM141,8084,-3.213278
HSPB1,1301,-3.211989
INA,3494,-3.211432
C8orf37,9068,-3.209739
ECHDC1,6474,-3.20676
PLXNA1,2077,-3.205102
ANKRD40,8234,-3.203061
PRKCA,2168,-3.202607
ZNF653,8496,-3.196744
CERK,7107,-3.193022
ADGRA1,7913,-3.186781
ZNF189,3061,-3.183818
PLAC9,9293,-3.183271
SYNGR1,3509,-3.182812
TMEM60,8088,-3.181581
CCK,390,-3.180923
STBD1,3442,-3.179785
LRRC8C,7851,-3.174699
PDE4DIP,3752,-3.173316
KCNQ3,1479,-3.17331
FDPS,917,-3.169077
GHDC,7933,-3.164818
ALKBH6,8068,-3.164512
NPM2,4106,-3.164438
MRPS28,5372,-3.163093
COX11,576,-3.159711
RIMS3,3817,-3.156947
DOCK4,3790,-3.156644
TRIB1,4045,-3.155142
MEX3A,8292,-3.147516
MPC1,5811,-3.143762
BMPER,9164,-3.140275
SCRN3,7331,-3.133518
PVALB,2294,-3.133405
ENDOD1,4694,-3.133166
LYPLAL1,8677,-3.131875
NXPH2,4525,-3.131341
COLEC12,7631,-3.131069
MRPL46,5237,-3.129456
SPSB1,7524,-3.128358
KCNS2,1481,-3.125943
PEPD,1995,-3.123872
WWTR1,5092,-3.123524
C2CD2,5108,-3.121656
SNX16,7008,-3.121334
CDH8,440,-3.118765
ZBTB20,5179,-3.118334
RPAP3,7345,-3.117768
SSR3,2696,-3.117508
CIB2,4192,-3.117409
EPRS,851,-3.117079
RNF175,9565,-3.11665
MEPCE,6535,-3.113108
INIP,6902,-3.112787
HSD11B1L,9718,-3.112616
PIK3R1,2044,-3.11158
SIPA1L3,4712,-3.109672
STAT5B,2706,-3.109542
NNT,4930,-3.10323
ZBTB8OS,9624,-3.102935
KNG1,1495,-3.102505
FAM81A,8898,-3.101525
SLC19A1,2609,-3.101487
C16orf89,8910,-3.098707
PRDX5,5046,-3.098021
TMEM182,8748,-3.095403
C2orf74,9629,-3.093527
TRPC5,2901,-3.092783
OSBPL1A,8455,-3.091718
FIG4,3874,-3.088273
MT1F,1712,-3.083087
CCND2,394,-3.082046
RARA,2339,-3.08006
RELL2,9572,-3.073615
DPP7,5480,-3.07333
